search_word,username,userid,location,tweet
Andhaghaaram,RedcarpetOffl,1186245922323230722,,"Five more days for #Andhaghaaram 
On #Netflix https://t.co/wpZHApHbak"
Andhaghaaram,ABINKJ11,1299335575283970048,,"5 Days To go #Andhaghaaram film 
Premiere On Nov 24 @Netflix"
Andhaghaaram,Arun143Vijay_,1222374454623272960,,"#AndhaghaaramOnNETFLIX November 24 

#Andhaghaaram #Netflix

Follow @Arun143Vijay_ 👈More OTT HD Cinema Updates https://t.co/G4ndy2s0bI"
Nuvvevaru,tarak_dipika,1160189462686527488,India,"Few people pointed out in the tag...
Abi: Nuvvevaru
Akhil: Nuvvevadu

That's enough to say I'm stanning the right person!!
Thank you for always making us proud Abi!!

Also, thanks to few other HMs for always reminding us that we are supporting the right person😂
#BiggBossTelugu4"
Brahmastra,rama_fucks,1003068680715014144,,"Indestructible blade that even the Rakshasa King succumbs over, take form! Take this! Brahmastra!"
Brahmastra,ThoughtsAdded,1318640648665272320,,"ICAI has released its Brahmastra for forcing to opt out, and looking at CCM's tweet it seems like they are desperate to make us opt out. You can opt out even on 21st morning so don't b in hurry. #icaiexams #SayNoToOptout #icaiexampostponement"
Brahmastra,Boldsky,40193294,Bengaluru,"Mouni Roy's make-up look in her latest picture is beautiful and you should definitely try it out.
@Roymouni #beauty #beautytips #makeup #makeuptips 
 https://t.co/GeBLzmGqeN"
Brahmastra,TheFluffyyGuy,1277146958470066177,,"@iamgarvpahal Next year sabse accha rehne wala hai SRKians ke liye. 
1 movie lead mai aur 3 movies (LSC, brahmastra aur rocketry) mai cameo 🔥🔥🔥"
Brahmastra,TheFluffyyGuy,1277146958470066177,,"-Started shooting for Pathan

-Atlee &amp; Hirani's films are at scripting stage

-Finished filming his part in Brahmastra &amp; LSC

-No update on rocketry &amp; RajDk's film, as of now

-The news about SRK having a cameo in RRs film may not be true but I know for a fact that 1aur cameo hai https://t.co/tYvu4OeGUw"
Brahmastra,Nikita90148050,1310287996403376128,,"@Himanii__ looks like that's your BRAHMASTRA.. yo haters be ready to BURNNNNN!!! 
Go @Himanii__  Burnn em all 😉♥️🤗 https://t.co/9q8iaHxvfY"
Brahmastra,rama_fucks,1003068680715014144,,"Indestructible blade that even the Rakshasa King succumbs over, take form! Take this! Brahmastra!"
Brahmastra,priyanksin,267780802,India,"@D_Roopa_IPS @TIinExile 4. So उल्का,  can be used in several contexts, that said, ulka does also have meaning as burning fireworks. A culture which has mentioning of warfare like brahmastra and आग्नेयास्त्र,  doesn't fall sgort of a firework. Please have some courtesy to acknowledge that."
Brahmastra,fwltonlovely,1292985434499420160,Gryffindor,"""many years ago, i heard about the brahmastra, or as its colloquially called, the philosopher's stone"" KELFLROODOFMWKFKEK gatilho"
Brahmastra,Arthwritess,1214422814544936960,India,"@HimeshMankad Ya to SRK's film ya to Brahmastra..
Hindi Cinema's most awaited things right now..
Everything else can wait"
Greenland,twoeyedloon,197734408,UK,"@iPaulRob @mtpennycook @Ed_Miliband You know that the Greenland ice sheet isn't sea-ice? And that 10 billion tonnes is a day's snowfall, neither here nor there? And that the ice sheet is melting? https://t.co/r5YGqklVmA"
